요일,시군구,사망자수,중상자수,경상자수,부상신고자수,기상상태,인구수,도로형태
토요일,대전광역시 동구 삼괴동,0,0,1,0,맑음,325,단일로 - 기타
토요일,대전광역시 대덕구 법동,0,0,1,0,맑음,"27,012",교차로 - 교차로부근
토요일,대전광역시 대덕구 법동,0,0,1,0,맑음,"12,218",교차로 - 교차로부근
토요일,대전광역시 대덕구 법동,0,0,1,0,맑음,"14,794",교차로 - 교차로부근
토요일,대전광역시 동구 용전동,0,1,1,0,맑음,"19,995",교차로 - 교차로안
토요일,대전광역시 동구 용전동,0,1,1,0,맑음,"19,995",교차로 - 교차로안
토요일,대전광역시 서구 갈마동,0,0,1,0,흐림,"44,762",단일로 - 기타
토요일,대전광역시 서구 갈마동,0,0,1,0,흐림,"20,961",단일로 - 기타
토요일,대전광역시 서구 갈마동,0,0,1,0,흐림,"23,801",단일로 - 기타
토요일,대전광역시 서구 둔산동,0,0,4,0,맑음,"70,196",교차로 - 교차로부근
토요일,대전광역시 서구 둔산동,0,0,4,0,맑음,"16,308",교차로 - 교차로부근
토요일,대전광역시 서구 둔산동,0,0,4,0,맑음,"35,023",교차로 - 교차로부근
토요일,대전광역시 서구 둔산동,0,0,4,0,맑음,"18,865",교차로 - 교차로부근
토요일,대전광역시 대덕구 비래동,0,1,0,0,맑음,"14,987",교차로 - 교차로횡단보도내
토요일,대전광역시 대덕구 비래동,0,1,0,0,맑음,"14,987",교차로 - 교차로횡단보도내
토요일,대전광역시 대덕구 읍내동,0,0,4,0,맑음,"5,729",교차로 - 교차로부근
일요일,대전광역시 서구 도마동,0,0,1,0,맑음,"34,939",단일로 - 기타
일요일,대전광역시 서구 도마동,0,0,1,0,맑음,"18,687",단일로 - 기타
일요일,대전광역시 서구 도마동,0,0,1,0,맑음,"16,252",단일로 - 기타
일요일,대전광역시 서구 둔산동,0,1,0,0,맑음,"70,196",단일로 - 기타
일요일,대전광역시 서구 둔산동,0,1,0,0,맑음,"16,308",단일로 - 기타
일요일,대전광역시 서구 둔산동,0,1,0,0,맑음,"35,023",단일로 - 기타
일요일,대전광역시 서구 둔산동,0,1,0,0,맑음,"18,865",단일로 - 기타
일요일,대전광역시 서구 도마동,0,0,1,0,맑음,"34,939",단일로 - 기타
일요일,대전광역시 서구 도마동,0,0,1,0,맑음,"18,687",단일로 - 기타
일요일,대전광역시 서구 도마동,0,0,1,0,맑음,"16,252",단일로 - 기타
일요일,대전광역시 동구 용전동,0,1,0,0,맑음,"19,995",단일로 - 기타
일요일,대전광역시 동구 용전동,0,1,0,0,맑음,"19,995",단일로 - 기타
일요일,대전광역시 동구 자양동,0,1,0,0,맑음,"10,901",교차로 - 교차로안
일요일,대전광역시 동구 자양동,0,1,0,0,맑음,"10,901",교차로 - 교차로안
일요일,대전광역시 유성구 원신흥동,0,0,2,0,맑음,"30,131",단일로 - 기타
일요일,대전광역시 유성구 원신흥동,0,0,2,0,맑음,"18,191",단일로 - 기타
일요일,대전광역시 동구 소제동,0,0,1,0,맑음,"1,195",단일로 - 기타
일요일,대전광역시 동구 용운동,0,1,0,0,맑음,"21,134",교차로 - 교차로부근
일요일,대전광역시 동구 용운동,0,1,0,0,맑음,"21,134",교차로 - 교차로부근
일요일,대전광역시 유성구 궁동,0,0,2,0,맑음,"7,178",단일로 - 기타
일요일,대전광역시 서구 둔산동,0,0,1,0,맑음,"70,196",단일로 - 기타
일요일,대전광역시 서구 둔산동,0,0,1,0,맑음,"16,308",단일로 - 기타
일요일,대전광역시 서구 둔산동,0,0,1,0,맑음,"35,023",단일로 - 기타
일요일,대전광역시 서구 둔산동,0,0,1,0,맑음,"18,865",단일로 - 기타
월요일,대전광역시 서구 복수동,0,5,1,0,맑음,"21,514",교차로 - 교차로안
월요일,대전광역시 서구 복수동,0,5,1,0,맑음,"21,514",교차로 - 교차로안
월요일,대전광역시 중구 산성동,0,1,0,0,흐림,"17,351",교차로 - 교차로부근
월요일,대전광역시 중구 산성동,0,1,0,0,흐림,"25,360",교차로 - 교차로부근
월요일,대전광역시 동구 성남동,0,0,3,0,맑음,"10,790",단일로 - 기타
월요일,대전광역시 동구 성남동,0,0,3,0,맑음,"10,790",단일로 - 기타
월요일,대전광역시 대덕구 송촌동,0,0,1,0,흐림,"25,620",교차로 - 교차로안
월요일,대전광역시 대덕구 송촌동,0,0,1,0,흐림,"25,620",교차로 - 교차로안
월요일,대전광역시 서구 갈마동,0,0,1,0,맑음,"44,762",단일로 - 기타
월요일,대전광역시 서구 갈마동,0,0,1,0,맑음,"20,961",단일로 - 기타
월요일,대전광역시 서구 갈마동,0,0,1,0,맑음,"23,801",단일로 - 기타
월요일,대전광역시 유성구 장대동,0,0,6,0,맑음,"12,421",교차로 - 교차로안
월요일,대전광역시 대덕구 상서동,0,1,1,0,맑음,"1,258",교차로 - 교차로안
월요일,대전광역시 서구 둔산동,0,0,1,0,맑음,"70,196",교차로 - 교차로횡단보도내
월요일,대전광역시 서구 둔산동,0,0,1,0,맑음,"16,308",교차로 - 교차로횡단보도내
월요일,대전광역시 서구 둔산동,0,0,1,0,맑음,"35,023",교차로 - 교차로횡단보도내
월요일,대전광역시 서구 둔산동,0,0,1,0,맑음,"18,865",교차로 - 교차로횡단보도내
월요일,대전광역시 유성구 원내동,0,0,1,0,맑음,"11,429",교차로 - 교차로안
월요일,대전광역시 중구 유천동,0,0,1,0,맑음,"18,716",교차로 - 교차로부근
월요일,대전광역시 중구 유천동,0,0,1,0,맑음,"5,760",교차로 - 교차로부근
월요일,대전광역시 중구 유천동,0,0,1,0,맑음,"12,956",교차로 - 교차로부근
월요일,대전광역시 중구 선화동,0,0,1,0,맑음,"17,328",단일로 - 기타
월요일,대전광역시 서구 갈마동,0,0,1,0,맑음,"44,762",교차로 - 교차로안
월요일,대전광역시 서구 갈마동,0,0,1,0,맑음,"20,961",교차로 - 교차로안
월요일,대전광역시 서구 갈마동,0,0,1,0,맑음,"23,801",교차로 - 교차로안
월요일,대전광역시 서구 관저동,0,0,1,0,맑음,"62,855",교차로 - 교차로횡단보도내
월요일,대전광역시 서구 관저동,0,0,1,0,맑음,"14,751",교차로 - 교차로횡단보도내
월요일,대전광역시 서구 관저동,0,0,1,0,맑음,"48,104",교차로 - 교차로횡단보도내
월요일,대전광역시 동구 주산동,0,0,1,0,맑음,173,단일로 - 기타
월요일,대전광역시 서구 도마동,0,0,1,0,맑음,"34,939",교차로 - 교차로부근
월요일,대전광역시 서구 도마동,0,0,1,0,맑음,"18,687",교차로 - 교차로부근
월요일,대전광역시 서구 도마동,0,0,1,0,맑음,"16,252",교차로 - 교차로부근
월요일,대전광역시 대덕구 송촌동,0,0,1,0,맑음,"25,620",교차로 - 교차로횡단보도내
월요일,대전광역시 대덕구 송촌동,0,0,1,0,맑음,"25,620",교차로 - 교차로횡단보도내
월요일,대전광역시 유성구 장대동,0,0,1,0,맑음,"12,421",교차로 - 교차로안
월요일,대전광역시 중구 유천동,0,0,1,0,맑음,"18,716",교차로 - 교차로안
월요일,대전광역시 중구 유천동,0,0,1,0,맑음,"5,760",교차로 - 교차로안
월요일,대전광역시 중구 유천동,0,0,1,0,맑음,"12,956",교차로 - 교차로안
월요일,대전광역시 서구 관저동,0,0,1,0,맑음,"62,855",단일로 - 기타
월요일,대전광역시 서구 관저동,0,0,1,0,맑음,"14,751",단일로 - 기타
월요일,대전광역시 서구 관저동,0,0,1,0,맑음,"48,104",단일로 - 기타
화요일,대전광역시 유성구 복용동,0,0,1,0,흐림,"1,520",교차로 - 교차로부근
화요일,대전광역시 동구 가오동,0,0,1,0,맑음,"11,519",단일로 - 기타
화요일,대전광역시 서구 도마동,0,0,1,0,맑음,"34,939",단일로 - 기타
화요일,대전광역시 서구 도마동,0,0,1,0,맑음,"18,687",단일로 - 기타
화요일,대전광역시 서구 도마동,0,0,1,0,맑음,"16,252",단일로 - 기타
화요일,대전광역시 동구 천동,0,0,2,0,맑음,"10,547",교차로 - 교차로부근
화요일,대전광역시 동구 성남동,0,0,1,0,맑음,"10,790",단일로 - 기타
화요일,대전광역시 동구 성남동,0,0,1,0,맑음,"10,790",단일로 - 기타
화요일,대전광역시 서구 둔산동,0,1,0,0,맑음,"70,196",단일로 - 기타
화요일,대전광역시 서구 둔산동,0,1,0,0,맑음,"16,308",단일로 - 기타
화요일,대전광역시 서구 둔산동,0,1,0,0,맑음,"35,023",단일로 - 기타
화요일,대전광역시 서구 둔산동,0,1,0,0,맑음,"18,865",단일로 - 기타
화요일,대전광역시 동구 판암동,0,0,2,0,맑음,"11,876",기타 - 기타
화요일,대전광역시 동구 판암동,0,0,2,0,맑음,"7,829",기타 - 기타
화요일,대전광역시 동구 판암동,0,0,2,0,맑음,"19,319",기타 - 기타
화요일,대전광역시 동구 효동,0,0,2,0,맑음,"24,869",단일로 - 기타
화요일,대전광역시 동구 효동,0,0,2,0,맑음,"2,803",단일로 - 기타
화요일,대전광역시 중구 문화동,0,1,0,0,맑음,"32,040",교차로 - 교차로안
화요일,대전광역시 중구 문화동,0,1,0,0,맑음,"20,580",교차로 - 교차로안
화요일,대전광역시 중구 문화동,0,1,0,0,맑음,"11,460",교차로 - 교차로안
화요일,대전광역시 유성구 장대동,0,0,1,0,맑음,"12,421",교차로 - 교차로안
화요일,대전광역시 서구 월평동,0,1,0,0,맑음,"44,694",교차로 - 교차로안
화요일,대전광역시 서구 월평동,0,1,0,0,맑음,"11,127",교차로 - 교차로안
화요일,대전광역시 서구 월평동,0,1,0,0,맑음,"13,437",교차로 - 교차로안
화요일,대전광역시 서구 월평동,0,1,0,0,맑음,"20,130",교차로 - 교차로안
화요일,대전광역시 서구 탄방동,0,0,1,0,맑음,"26,410",교차로 - 교차로부근
화요일,대전광역시 서구 탄방동,0,0,1,0,맑음,"26,410",교차로 - 교차로부근
화요일,대전광역시 유성구 장대동,0,0,1,0,맑음,"12,421",교차로 - 교차로안
화요일,대전광역시 중구 태평동,0,0,2,0,맑음,"36,598",교차로 - 교차로안
화요일,대전광역시 중구 태평동,0,0,2,0,맑음,"12,533",교차로 - 교차로안
화요일,대전광역시 중구 태평동,0,0,2,0,맑음,"24,065",교차로 - 교차로안
화요일,대전광역시 서구 탄방동,0,0,1,0,맑음,"26,410",단일로 - 기타
화요일,대전광역시 서구 탄방동,0,0,1,0,맑음,"26,410",단일로 - 기타
화요일,대전광역시 유성구 가정동,0,0,1,0,맑음,748,교차로 - 교차로안
화요일,대전광역시 중구 대흥동,0,0,1,0,맑음,"12,792",단일로 - 기타
화요일,대전광역시 중구 대흥동,0,0,1,0,맑음,"12,792",단일로 - 기타
화요일,대전광역시 동구 삼성동,0,0,1,0,맑음,"13,402",기타 - 기타
화요일,대전광역시 동구 삼성동,0,0,1,0,맑음,"13,402",기타 - 기타
수요일,대전광역시 중구 오류동,0,0,1,0,맑음,"10,077",교차로 - 교차로안
수요일,대전광역시 중구 오류동,0,0,1,0,맑음,"10,077",교차로 - 교차로안
수요일,대전광역시 대덕구 신대동,0,0,3,1,맑음,"1,172",단일로 - 기타
수요일,대전광역시 유성구 장대동,0,2,2,0,맑음,"12,421",단일로 - 기타
수요일,대전광역시 대덕구 오정동,0,0,1,0,맑음,"13,668",교차로 - 교차로안
수요일,대전광역시 대덕구 오정동,0,0,1,0,맑음,"13,668",교차로 - 교차로안
수요일,대전광역시 유성구 궁동,0,0,1,0,맑음,"7,178",교차로 - 교차로안
