읍면동,사고건수,사망자수,중상자수,경상자수,부상신고자수,ARI
가수원동,111,2,26,163,8,113.93
가양동,286,3,50,329,11,243.03
가오동,96,1,17,123,0,85.29
가장동,96,1,22,103,3,80.4
가정동,18,0,3,20,0,14.6
갈마동,599,4,89,703,22,506.93
갈전동,1,0,1,0,0,0.71
갑동,24,1,9,35,0,25.5
계산동,26,1,6,36,1,25.55
관저동,296,3,66,368,6,266.39
관평동,172,0,38,193,17,150.9
괴곡동,12,1,4,16,0,12.09
괴정동,290,0,64,309,8,239.41
교촌동,31,0,7,32,4,26.5
구도동,24,0,4,36,0,23.32
구룡동,5,1,1,2,1,3.54
구성동,39,0,18,41,3,36.62
구암동,217,2,43,296,12,207.18
구완동,1,0,1,0,0,0.71
궁동,156,0,20,183,20,136.07
금고동,1,0,0,1,0,0.71
낭월동,30,0,13,27,0,25.0
내동,121,0,31,124,3,99.51
노은동,181,0,38,233,13,168.39
대동,95,0,29,110,0,84.18
대별동,2,0,0,2,0,1.41
대사동,106,1,21,124,2,91.02
대성동,45,0,14,60,0,43.3
대정동,24,0,7,22,3,20.0
대화동,68,0,10,71,8,56.0
대흥동,254,0,56,314,3,225.64
덕명동,64,0,9,81,5,57.27
덕암동,82,3,16,83,6,67.8
덕진동,6,0,0,10,2,6.71
도룡동,142,0,20,189,10,130.5
도마동,333,4,70,387,15,290.46
도안동,249,2,57,310,10,226.74
둔곡동,16,0,7,25,2,18.79
둔산동,1007,3,217,1077,33,834.11
마산동,2,0,0,4,0,2.24
만년동,146,1,30,180,3,129.53
매노동,4,0,0,4,0,2.83
목달동,1,0,0,1,0,0.71
목동,40,0,13,39,1,33.2
목상동,73,0,14,79,4,60.7
문지동,37,1,12,37,1,31.5
문창동,53,0,19,51,1,44.3
문평동,28,2,10,26,0,23.6
문화동,193,2,37,220,6,163.92
미호동,3,0,2,1,0,2.12
반석동,79,0,15,115,4,77.78
방동,54,2,11,85,1,56.38
방현동,10,0,2,17,0,10.74
법동,125,1,31,124,7,102.71
변동,141,3,20,164,1,117.5
복수동,86,1,26,91,1,73.41
복용동,35,1,13,40,5,34.3
봉명동,608,3,97,723,37,526.61
봉산동,59,0,8,86,6,58.05
부사동,77,0,17,79,0,61.53
비래동,130,0,29,162,14,121.37
비룡동,17,1,4,23,0,16.38
사성동,1,0,1,0,0,0.71
사정동,50,1,10,60,2,44.24
산성동,113,1,35,114,2,94.7
산직동,2,0,0,2,0,1.41
삼괴동,11,1,7,16,0,13.2
삼성동,143,1,36,178,6,131.61
삼정동,15,0,3,27,0,16.77
상대동,89,2,21,104,4,79.19
상서동,62,0,9,81,1,55.06
석교동,41,0,13,43,3,35.92
석봉동,85,1,16,85,2,67.16
선화동,198,0,40,231,8,171.06
