교차로수,위도,경도,시군구,도로,ARI
2,36.21529801,127.3537813,장안동,X,5.59
2,36.29189211,127.3997889,사정동,보문산공원로,44.24
2,36.28084236,127.432767,구완동,대전남부순환고속도로,0.71
2,36.30096474,127.3987049,산성동,탑골로18번길,94.7
2,36.27609962,127.4071192,산성동,대전남부순환고속도로,94.7
2,36.31109342,127.370843,도마동,도림5길,290.46
2,36.32688802,127.3744211,변동,도솔로,117.5
2,36.32596882,127.3627759,도마동,배재로197번길,290.46
2,36.33635183,127.3642888,내동,신갈마로,99.51
2,36.32772501,127.366977,변동,변동서로27번길,117.5
2,36.32949187,127.3640585,변동,변동서로28번길,117.5
2,36.32778782,127.3660942,변동,변동서로27번길,117.5
2,36.32938893,127.3641225,변동,변동서로27번길,117.5
2,36.32703191,127.3745363,변동,도솔로,117.5
2,36.32650607,127.3748361,변동,도마로43번길,117.5
2,36.33658499,127.3633328,내동,신갈마로,99.51
2,36.33543505,127.3640255,변동,도솔터널,117.5
2,36.33125058,127.3636489,변동,도솔터널,117.5
2,36.33667239,127.3629517,내동,신갈마로,99.51
2,36.33073013,127.363183,변동,도솔터널,117.5
2,36.33150079,127.3636861,변동,도솔터널,117.5
2,36.33432509,127.3641422,변동,도솔터널,117.5
2,36.32985994,127.363095,변동,변동서로28번길,117.5
2,36.32636,127.3647667,도마동,배재로197번길,290.46
2,36.32653652,127.3631151,도마동,배재로197번길,290.46
2,36.32646681,127.3640803,도마동,배재로197번길,290.46
2,36.34504044,127.3315163,상대동,상대서로,79.19
2,36.3300197,127.3590759,도안동,동서대로,226.74
2,36.32550763,127.3555633,도안동,갑천 자전거길,226.74
2,36.32270782,127.3533929,도안동,갑천 자전거길,226.74
2,36.33937109,127.3522921,도안동,갑천 자전거길,226.74
2,36.33630853,127.3533362,도안동,갑천 자전거길,226.74
2,36.32678582,127.3534773,도안동,갑천 자전거길,226.74
2,36.30869141,127.2716021,세동,세동로,2.5
2,36.308603,127.2711735,세동,세동로,2.5
2,36.32256804,127.3468221,도안동,원도안로224번길,226.74
2,36.32516172,127.3329082,용계동,도안대로,33.56
2,36.3208663,127.3268435,용계동,용계로119번길,33.56
2,36.31832804,127.3268866,대정동,대정북로,20.0
2,36.31959321,127.3328466,용계동,도안대로,33.56
2,36.30972796,127.3434289,도안동,X,226.74
2,36.31983526,127.3416066,도안동,X,226.74
2,36.34045512,127.342111,원신흥동,원신흥로55번길,103.52
2,36.32954298,127.3465488,도안동,도안동로,226.74
2,36.33382233,127.3383348,원신흥동,원신흥남로12번길,103.52
2,36.33357348,127.3384131,원신흥동,원신흥남로12번길,103.52
2,36.33535402,127.3454325,원신흥동,동서대로735번길,103.52
2,36.32906051,127.3462648,도안동,도안동로,226.74
2,36.32732725,127.3462587,도안동,원도안로241번길,226.74
2,36.3405564,127.3320353,상대동,상대서로,79.19
2,36.34479057,127.3318856,상대동,상대서로68번길,79.19
2,36.3372814,127.3298711,상대동,상대복용로,79.19
2,36.34516566,127.331475,상대동,상대서로,79.19
2,36.34510552,127.3317405,상대동,상대서로,79.19
2,36.34526382,127.3319589,상대동,상대서로,79.19
2,36.32532148,127.3027693,학하동,X,34.73
2,36.33084027,127.3056265,계산동,X,25.55
2,36.32806605,127.2991805,계산동,원계산로,25.55
2,36.32808445,127.298362,계산동,원계산로,25.55
2,36.34118032,127.296191,학하동,학하서로63번길,34.73
2,36.34384844,127.2870057,덕명동,수통골로,57.27
2,36.3321478,127.3554328,월평동,동서대로,421.75
