,시군구,day_type,accident_count
0,대전광역시 대덕구 갈전동,weekday,1
1,대전광역시 대덕구 대화동,weekday,64
3,대전광역시 대덕구 덕암동,weekday,70
5,대전광역시 대덕구 목상동,weekday,59
7,대전광역시 대덕구 문평동,weekday,19
9,대전광역시 대덕구 미호동,weekday,1
11,대전광역시 대덕구 법동,weekday,94
13,대전광역시 대덕구 비래동,weekday,100
16,대전광역시 대덕구 상서동,weekday,52
18,대전광역시 대덕구 석봉동,weekday,64
20,대전광역시 대덕구 송촌동,weekday,110
22,대전광역시 대덕구 신대동,weekday,66
24,대전광역시 대덕구 신일동,weekday,39
26,대전광역시 대덕구 신탄진동,weekday,98
28,대전광역시 대덕구 연축동,weekday,9
29,대전광역시 대덕구 오정동,weekday,290
31,대전광역시 대덕구 와동,weekday,23
34,대전광역시 대덕구 읍내동,weekday,96
36,대전광역시 대덕구 이현동,weekday,1
37,대전광역시 대덕구 중리동,weekday,203
39,대전광역시 대덕구 평촌동,weekday,25
41,대전광역시 동구 가양동,weekday,201
43,대전광역시 동구 가오동,weekday,76
45,대전광역시 동구 구도동,weekday,20
47,대전광역시 동구 낭월동,weekday,28
49,대전광역시 동구 대동,weekday,78
51,대전광역시 동구 대별동,weekday,2
52,대전광역시 동구 대성동,weekday,32
54,대전광역시 동구 마산동,weekday,1
56,대전광역시 동구 비룡동,weekday,14
59,대전광역시 동구 삼괴동,weekday,7
61,대전광역시 동구 삼성동,weekday,110
63,대전광역시 동구 삼정동,weekday,10
65,대전광역시 동구 성남동,weekday,98
67,대전광역시 동구 세천동,weekday,6
69,대전광역시 동구 소제동,weekday,37
71,대전광역시 동구 신상동,weekday,12
73,대전광역시 동구 신안동,weekday,9
75,대전광역시 동구 신촌동,weekday,1
76,대전광역시 동구 신하동,weekday,3
78,대전광역시 동구 신흥동,weekday,28
80,대전광역시 동구 용운동,weekday,65
82,대전광역시 동구 용전동,weekday,205
84,대전광역시 동구 원동,weekday,42
86,대전광역시 동구 이사동,weekday,1
87,대전광역시 동구 인동,weekday,57
89,대전광역시 동구 자양동,weekday,79
91,대전광역시 동구 정동,weekday,54
93,대전광역시 동구 주산동,weekday,2
95,대전광역시 동구 중동,weekday,53
97,대전광역시 동구 천동,weekday,20
99,대전광역시 동구 추동,weekday,2
101,대전광역시 동구 판암동,weekday,106
103,대전광역시 동구 하소동,weekday,1
105,대전광역시 동구 홍도동,weekday,63
107,대전광역시 동구 효동,weekday,15
109,대전광역시 서구 가수원동,weekday,88
111,대전광역시 서구 가장동,weekday,82
113,대전광역시 서구 갈마동,weekday,435
115,대전광역시 서구 관저동,weekday,227
117,대전광역시 서구 괴곡동,weekday,10
119,대전광역시 서구 괴정동,weekday,220
121,대전광역시 서구 내동,weekday,92
123,대전광역시 서구 도마동,weekday,253
125,대전광역시 서구 도안동,weekday,194
127,대전광역시 서구 둔산동,weekday,745
129,대전광역시 서구 만년동,weekday,113
131,대전광역시 서구 매노동,weekday,3
133,대전광역시 서구 변동,weekday,108
135,대전광역시 서구 복수동,weekday,67
137,대전광역시 서구 산직동,weekday,1
139,대전광역시 서구 오동,weekday,1
141,대전광역시 서구 용문동,weekday,166
143,대전광역시 서구 용촌동,weekday,1
144,대전광역시 서구 우명동,weekday,2
145,대전광역시 서구 원정동,weekday,1
147,대전광역시 서구 월평동,weekday,352
149,대전광역시 서구 장안동,weekday,2
151,대전광역시 서구 정림동,weekday,80
153,대전광역시 서구 탄방동,weekday,320
155,대전광역시 서구 평촌동,weekday,2
156,대전광역시 서구 흑석동,weekday,5
158,대전광역시 유성구 가정동,weekday,11
160,대전광역시 유성구 갑동,weekday,18
162,대전광역시 유성구 계산동,weekday,18
164,대전광역시 유성구 관평동,weekday,133
166,대전광역시 유성구 교촌동,weekday,25
