,시군구,day_type,accident_count
2,대전광역시 대덕구 대화동,weekend,4
4,대전광역시 대덕구 덕암동,weekend,12
6,대전광역시 대덕구 목상동,weekend,14
8,대전광역시 대덕구 문평동,weekend,9
10,대전광역시 대덕구 미호동,weekend,2
12,대전광역시 대덕구 법동,weekend,31
14,대전광역시 대덕구 비래동,weekend,30
15,대전광역시 대덕구 삼정동,weekend,1
17,대전광역시 대덕구 상서동,weekend,10
19,대전광역시 대덕구 석봉동,weekend,21
21,대전광역시 대덕구 송촌동,weekend,40
23,대전광역시 대덕구 신대동,weekend,14
25,대전광역시 대덕구 신일동,weekend,3
27,대전광역시 대덕구 신탄진동,weekend,37
30,대전광역시 대덕구 오정동,weekend,67
32,대전광역시 대덕구 와동,weekend,5
33,대전광역시 대덕구 용호동,weekend,1
35,대전광역시 대덕구 읍내동,weekend,22
38,대전광역시 대덕구 중리동,weekend,67
40,대전광역시 대덕구 평촌동,weekend,8
42,대전광역시 동구 가양동,weekend,85
44,대전광역시 동구 가오동,weekend,20
46,대전광역시 동구 구도동,weekend,4
48,대전광역시 동구 낭월동,weekend,2
50,대전광역시 동구 대동,weekend,17
53,대전광역시 동구 대성동,weekend,13
55,대전광역시 동구 마산동,weekend,1
57,대전광역시 동구 비룡동,weekend,3
58,대전광역시 동구 사성동,weekend,1
60,대전광역시 동구 삼괴동,weekend,4
62,대전광역시 동구 삼성동,weekend,33
64,대전광역시 동구 삼정동,weekend,4
66,대전광역시 동구 성남동,weekend,22
68,대전광역시 동구 세천동,weekend,1
70,대전광역시 동구 소제동,weekend,36
72,대전광역시 동구 신상동,weekend,8
74,대전광역시 동구 신안동,weekend,2
77,대전광역시 동구 신하동,weekend,1
79,대전광역시 동구 신흥동,weekend,17
81,대전광역시 동구 용운동,weekend,26
83,대전광역시 동구 용전동,weekend,78
85,대전광역시 동구 원동,weekend,16
88,대전광역시 동구 인동,weekend,13
90,대전광역시 동구 자양동,weekend,28
92,대전광역시 동구 정동,weekend,17
94,대전광역시 동구 주산동,weekend,1
96,대전광역시 동구 중동,weekend,29
98,대전광역시 동구 천동,weekend,1
100,대전광역시 동구 추동,weekend,1
102,대전광역시 동구 판암동,weekend,30
104,대전광역시 동구 하소동,weekend,2
106,대전광역시 동구 홍도동,weekend,21
108,대전광역시 동구 효동,weekend,9
110,대전광역시 서구 가수원동,weekend,23
112,대전광역시 서구 가장동,weekend,14
114,대전광역시 서구 갈마동,weekend,164
116,대전광역시 서구 관저동,weekend,69
118,대전광역시 서구 괴곡동,weekend,2
120,대전광역시 서구 괴정동,weekend,70
122,대전광역시 서구 내동,weekend,29
124,대전광역시 서구 도마동,weekend,80
126,대전광역시 서구 도안동,weekend,55
128,대전광역시 서구 둔산동,weekend,262
130,대전광역시 서구 만년동,weekend,33
132,대전광역시 서구 매노동,weekend,1
134,대전광역시 서구 변동,weekend,33
136,대전광역시 서구 복수동,weekend,19
138,대전광역시 서구 산직동,weekend,1
140,대전광역시 서구 오동,weekend,1
142,대전광역시 서구 용문동,weekend,57
146,대전광역시 서구 원정동,weekend,1
148,대전광역시 서구 월평동,weekend,126
150,대전광역시 서구 장안동,weekend,3
152,대전광역시 서구 정림동,weekend,30
154,대전광역시 서구 탄방동,weekend,88
157,대전광역시 서구 흑석동,weekend,3
159,대전광역시 유성구 가정동,weekend,7
161,대전광역시 유성구 갑동,weekend,6
163,대전광역시 유성구 계산동,weekend,8
165,대전광역시 유성구 관평동,weekend,39
167,대전광역시 유성구 교촌동,weekend,6
169,대전광역시 유성구 구룡동,weekend,1
171,대전광역시 유성구 구성동,weekend,12
173,대전광역시 유성구 구암동,weekend,42
175,대전광역시 유성구 궁동,weekend,55
176,대전광역시 유성구 금고동,weekend,1
178,대전광역시 유성구 노은동,weekend,44
180,대전광역시 유성구 대정동,weekend,6
182,대전광역시 유성구 덕명동,weekend,20
184,대전광역시 유성구 덕진동,weekend,2
186,대전광역시 유성구 도룡동,weekend,33
188,대전광역시 유성구 둔곡동,weekend,1
190,대전광역시 유성구 문지동,weekend,6
192,대전광역시 유성구 반석동,weekend,16
194,대전광역시 유성구 방동,weekend,17
196,대전광역시 유성구 방현동,weekend,1
198,대전광역시 유성구 복용동,weekend,7
200,대전광역시 유성구 봉명동,weekend,172
