사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010100100080,2022년 1월 1일 10시,토요일,대전광역시 동구 삼괴동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,화물,남,69세,상해없음,승용,남,28세,경상
2022010100100081,2022년 1월 1일 10시,토요일,대전광역시 대덕구 법동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,25세,기타불명,화물,남,35세,경상
2022010100100139,2022년 1월 1일 13시,토요일,대전광역시 동구 용전동,중상사고,0,1,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로안,이륜,남,20세 이하,경상,승용,남,37세,중상
2022010100100194,2022년 1월 1일 15시,토요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,흐림,단일로 - 기타,이륜,남,46세,경상,승용,남,35세,상해없음
2022010100100215,2022년 1월 1일 16시,토요일,대전광역시 서구 둔산동,경상사고,0,0,4,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,승용,남,32세,기타불명,승용,남,25세,경상
2022010100100282,2022년 1월 1일 18시,토요일,대전광역시 대덕구 비래동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,여,62세,상해없음,보행자,여,76세,중상
2022010100100377,2022년 1월 1일 21시,토요일,대전광역시 대덕구 읍내동,경상사고,0,0,4,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,승용,남,65세,상해없음,승용,남,32세,경상
2022010200100015,2022년 1월 2일 02시,일요일,대전광역시 서구 도마동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,기타불명,승용,남,28세,경상
2022010200100094,2022년 1월 2일 12시,일요일,대전광역시 서구 둔산동,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,여,53세,중상
2022010200100116,2022년 1월 2일 13시,일요일,대전광역시 서구 도마동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,76세,상해없음,이륜,남,39세,경상
2022010200100217,2022년 1월 2일 16시,일요일,대전광역시 동구 용전동,중상사고,0,1,0,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,승용,남,41세,중상
2022010200100237,2022년 1월 2일 17시,일요일,대전광역시 동구 자양동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,66세,상해없음,이륜,남,22세,중상
2022010200100238,2022년 1월 2일 17시,일요일,대전광역시 유성구 원신흥동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,승용,남,54세,경상
2022010200100278,2022년 1월 2일 18시,일요일,대전광역시 동구 소제동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승합,남,54세,상해없음,보행자,남,60세,경상
2022010200100311,2022년 1월 2일 19시,일요일,대전광역시 동구 용운동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,54세,상해없음,이륜,남,53세,중상
2022010200100312,2022년 1월 2일 19시,일요일,대전광역시 유성구 궁동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,59세,상해없음,승용,남,36세,경상
2022010200100377,2022년 1월 2일 21시,일요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,24세,상해없음,보행자,남,20세,경상
