시군구,요일,accident_count
대전광역시 대덕구 갈전동,금요일,1
대전광역시 대덕구 대화동,금요일,13
대전광역시 대덕구 대화동,목요일,15
대전광역시 대덕구 대화동,수요일,7
대전광역시 대덕구 대화동,월요일,14
대전광역시 대덕구 대화동,토요일,4
대전광역시 대덕구 대화동,화요일,15
대전광역시 대덕구 덕암동,금요일,18
대전광역시 대덕구 덕암동,목요일,18
대전광역시 대덕구 덕암동,수요일,10
대전광역시 대덕구 덕암동,월요일,14
대전광역시 대덕구 덕암동,일요일,4
대전광역시 대덕구 덕암동,토요일,8
대전광역시 대덕구 덕암동,화요일,10
대전광역시 대덕구 목상동,금요일,14
대전광역시 대덕구 목상동,목요일,8
대전광역시 대덕구 목상동,수요일,14
대전광역시 대덕구 목상동,월요일,8
대전광역시 대덕구 목상동,일요일,5
대전광역시 대덕구 목상동,토요일,9
대전광역시 대덕구 목상동,화요일,15
대전광역시 대덕구 문평동,금요일,2
대전광역시 대덕구 문평동,목요일,6
대전광역시 대덕구 문평동,수요일,2
대전광역시 대덕구 문평동,월요일,7
대전광역시 대덕구 문평동,일요일,3
대전광역시 대덕구 문평동,토요일,6
대전광역시 대덕구 문평동,화요일,2
대전광역시 대덕구 미호동,금요일,1
대전광역시 대덕구 미호동,일요일,1
대전광역시 대덕구 미호동,토요일,1
대전광역시 대덕구 법동,금요일,21
대전광역시 대덕구 법동,목요일,21
대전광역시 대덕구 법동,수요일,23
대전광역시 대덕구 법동,월요일,15
대전광역시 대덕구 법동,일요일,17
대전광역시 대덕구 법동,토요일,14
대전광역시 대덕구 법동,화요일,14
대전광역시 대덕구 비래동,금요일,28
대전광역시 대덕구 비래동,목요일,20
대전광역시 대덕구 비래동,수요일,19
대전광역시 대덕구 비래동,월요일,12
대전광역시 대덕구 비래동,일요일,9
대전광역시 대덕구 비래동,토요일,21
대전광역시 대덕구 비래동,화요일,21
대전광역시 대덕구 삼정동,일요일,1
대전광역시 대덕구 상서동,금요일,13
대전광역시 대덕구 상서동,목요일,12
대전광역시 대덕구 상서동,수요일,4
대전광역시 대덕구 상서동,월요일,11
대전광역시 대덕구 상서동,일요일,6
대전광역시 대덕구 상서동,토요일,4
대전광역시 대덕구 상서동,화요일,12
대전광역시 대덕구 석봉동,금요일,14
대전광역시 대덕구 석봉동,목요일,13
대전광역시 대덕구 석봉동,수요일,14
대전광역시 대덕구 석봉동,월요일,8
대전광역시 대덕구 석봉동,일요일,7
대전광역시 대덕구 석봉동,토요일,14
대전광역시 대덕구 석봉동,화요일,15
대전광역시 대덕구 송촌동,금요일,22
대전광역시 대덕구 송촌동,목요일,24
대전광역시 대덕구 송촌동,수요일,22
대전광역시 대덕구 송촌동,월요일,23
